DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Year,Latitude,Longitude
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,43,18556.06977,11324.02326,10304.02326,2011,42.3489582,-71.1476809
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,192,48295.77083,11394.34896,9933.083333,2011,42.3631542,-71.0688334
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,99,24096.37374,11787.60606,11218.78788,2011,42.3396481,-71.1050255
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,32,26171.71875,7293.15625,6415.78125,2011,42.3306338,-71.2464373
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,124,42633.83065,10611.34677,9714.580645,2011,42.3362036,-71.1067408
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,46,25461.52174,12194.67391,11151.8913,2011,42.349512,-71.063308
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC OR TPA IN 24 HRS,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,13,27138,9132.230769,8355.923077,2011,42.3016411,-71.1287817
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,24,17043.70833,5987.5,5143.833333,2011,42.373977,-71.1334327
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,14,15863.21429,8102.571429,6970.571429,2011,42.3748024,-71.1042804
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,28,21584.71429,9516.035714,8595.357143,2011,42.334447,-71.0740118
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,22,15291.59091,8291.818182,7425.818182,2011,42.3489582,-71.1476809
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,87,37299.65517,7808.218391,6913.149425,2011,42.3631542,-71.0688334
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,60,18125.98333,8307.1,7236.616667,2011,42.3396481,-71.1050255
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,36,25527.5,6013.638889,4425.861111,2011,42.3306338,-71.2464373
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,70,35472.68571,7892.328571,7105.414286,2011,42.3362036,-71.1067408
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,24,23815.58333,9051.125,8158.958333,2011,42.349512,-71.063308
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,18,23587.11111,6196.888889,5386.444444,2011,42.3016411,-71.1287817
069 - TRANSIENT ISCHEMIA,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,22,13435.77273,5648.818182,4779.909091,2011,42.373977,-71.1334327
069 - TRANSIENT ISCHEMIA,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,12,14467.33333,7113.25,6266.916667,2011,42.3748024,-71.1042804
069 - TRANSIENT ISCHEMIA,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,20,10988.25,7113.6,6326,2011,42.2774915,-71.065494
069 - TRANSIENT ISCHEMIA,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,31,16368.29032,8595.645161,7869.451613,2011,42.334447,-71.0740118
069 - TRANSIENT ISCHEMIA,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,44,34769.15909,7007.931818,6010.386364,2011,42.3631542,-71.0688334
069 - TRANSIENT ISCHEMIA,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,24,17944,7648.708333,6716.041667,2011,42.3396481,-71.1050255
069 - TRANSIENT ISCHEMIA,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,52,22033.11538,4998.692308,4027.692308,2011,42.3306338,-71.2464373
069 - TRANSIENT ISCHEMIA,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,41,26795.29268,6880.585366,5974.146341,2011,42.3362036,-71.1067408
069 - TRANSIENT ISCHEMIA,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,19,15625.21053,7707.842105,6618.473684,2011,42.349512,-71.063308
069 - TRANSIENT ISCHEMIA,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,18,17053.88889,5650.944444,4714.722222,2011,42.3016411,-71.1287817
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,18,15269.05556,6807.222222,6105.055556,2011,42.373977,-71.1334327
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,11,11226.54545,8347.636364,7321.454545,2011,42.3748024,-71.1042804
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,12,7925.25,8199.333333,7353,2011,42.2774915,-71.065494
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,25,11122.4,10158.8,9302.32,2011,42.334447,-71.0740118
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,13,24613.53846,10093.92308,9704.461538,2011,42.3489582,-71.1476809
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,45,36298.26667,8734.266667,7671,2011,42.3631542,-71.0688334
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,52,16490.51923,9222.461538,8570.096154,2011,42.3396481,-71.1050255
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,19,19335,6076.894737,4799.210526,2011,42.3306338,-71.2464373
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,38,33953.15789,8479.921053,8005.815789,2011,42.3362036,-71.1067408
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,17,16577.58824,6772.411765,6196.823529,2011,42.3016411,-71.1287817
101 - SEIZURES W/O MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,30,10572.5,5829.9,5268.166667,2011,42.373977,-71.1334327
101 - SEIZURES W/O MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,38,12465.60526,7720.342105,5924.789474,2011,42.3748024,-71.1042804
101 - SEIZURES W/O MCC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,34,9562.411765,7361.264706,6602.088235,2011,42.2774915,-71.065494
101 - SEIZURES W/O MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,78,11322.15385,8841.346154,8137.602564,2011,42.334447,-71.0740118
101 - SEIZURES W/O MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,16,7698.375,7391.25,6652.375,2011,42.3489582,-71.1476809
101 - SEIZURES W/O MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,83,28571.96386,7737.072289,6397.409639,2011,42.3631542,-71.0688334
101 - SEIZURES W/O MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,122,28958.88525,9084.286885,7785.860656,2011,42.3396481,-71.1050255
101 - SEIZURES W/O MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,33,18351.90909,5126.545455,4172.272727,2011,42.3306338,-71.2464373
101 - SEIZURES W/O MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,76,25911.85526,7365.026316,6419.565789,2011,42.3362036,-71.1067408
101 - SEIZURES W/O MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,29,15263.51724,8359,7854.862069,2011,42.349512,-71.063308
101 - SEIZURES W/O MCC,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,20,14942.55,7025.85,4877.05,2011,42.3016411,-71.1287817
149 - DYSEQUILIBRIUM,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,31,10508.96774,4923.967742,3981.774194,2011,42.373977,-71.1334327
149 - DYSEQUILIBRIUM,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,13,9418.076923,6135.307692,5097.769231,2011,42.3748024,-71.1042804
149 - DYSEQUILIBRIUM,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,34,10481.70588,7572.852941,6646.264706,2011,42.334447,-71.0740118
149 - DYSEQUILIBRIUM,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,17,6430.882353,6517.411765,5725.882353,2011,42.3489582,-71.1476809
149 - DYSEQUILIBRIUM,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,17,29466.70588,6136,5074.352941,2011,42.3631542,-71.0688334
149 - DYSEQUILIBRIUM,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,38,14002.05263,6717.131579,5308.210526,2011,42.3396481,-71.1050255
149 - DYSEQUILIBRIUM,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,24,21656.91667,4361.5,3376.333333,2011,42.3306338,-71.2464373
149 - DYSEQUILIBRIUM,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,12,24631.25,6032.25,5379.916667,2011,42.3362036,-71.1067408
149 - DYSEQUILIBRIUM,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,17,10884.23529,6965,5910.882353,2011,42.349512,-71.063308
149 - DYSEQUILIBRIUM,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,14,16237.92857,5768.642857,3632.857143,2011,42.3016411,-71.1287817
176 - PULMONARY EMBOLISM W/O MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,23,16292.43478,8165.565217,7389.217391,2011,42.373977,-71.1334327
176 - PULMONARY EMBOLISM W/O MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,12,15347,9359.583333,7799.666667,2011,42.3748024,-71.1042804
176 - PULMONARY EMBOLISM W/O MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,23,12304.26087,11054.69565,10123.73913,2011,42.334447,-71.0740118
176 - PULMONARY EMBOLISM W/O MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,11,12166.81818,9527.909091,8716.272727,2011,42.3489582,-71.1476809
176 - PULMONARY EMBOLISM W/O MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,74,45423.37838,12170.90541,11240.22973,2011,42.3631542,-71.0688334
176 - PULMONARY EMBOLISM W/O MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,39,15938.66667,10863.38462,9079.820513,2011,42.3396481,-71.1050255
176 - PULMONARY EMBOLISM W/O MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,12,17085.58333,5856.166667,4918.166667,2011,42.3306338,-71.2464373
176 - PULMONARY EMBOLISM W/O MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,55,28510.49091,9184.181818,8510.8,2011,42.3362036,-71.1067408
176 - PULMONARY EMBOLISM W/O MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,11,18742.81818,10802.72727,9514.090909,2011,42.349512,-71.063308
176 - PULMONARY EMBOLISM W/O MCC,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,15,12838.06667,7737.8,5880.2,2011,42.3016411,-71.1287817
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,26,26316.38462,15673.23077,14270.88462,2011,42.373977,-71.1334327
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,11,23632.63636,19313.72727,18670.54545,2011,42.3748024,-71.1042804
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,22,16376.04545,17624.04545,17063.86364,2011,42.2774915,-71.065494
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,22,22882,22463.36364,21745.90909,2011,42.334447,-71.0740118
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,28,25342.96429,19466.96429,18894.28571,2011,42.3489582,-71.1476809
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,87,78742.73563,23060.25287,22094.78161,2011,42.3631542,-71.0688334
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,68,24459.66176,19425.66176,18659.5,2011,42.3396481,-71.1050255
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,46,31496.28261,13287.73913,12557.84783,2011,42.3306338,-71.2464373
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,41,59825.87805,19371.78049,17497.07317,2011,42.3362036,-71.1067408
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,14,28107.57143,20845.57143,20425.64286,2011,42.349512,-71.063308
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,12,50053.5,16224.41667,15663.58333,2011,42.3016411,-71.1287817
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220002,MOUNT AUBURN HOSPITAL,330 MOUNT AUBURN STREET,CAMBRIDGE,MA,53,18635.58491,10592.09434,9884.339623,2011,42.373977,-71.1334327
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,30,13903.66667,12105.03333,11471.03333,2011,42.3748024,-71.1042804
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220017,CARNEY HOSPITAL,2100 DORCHESTER AVENUE,BOSTON,MA,32,13220.3125,13281.9375,12577.4375,2011,42.2774915,-71.065494
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220031,BOSTON MEDICAL CENTER CORPORATION,1 BOSTON MEDICAL CENTER PLACE,BOSTON,MA,27,20215.18519,17319.96296,16780.85185,2011,42.334447,-71.0740118
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220036,ST ELIZABETH'S MEDICAL CENTER,736 CAMBRIDGE STREET,BRIGHTON,MA,28,13347.67857,12862.92857,12120.71429,2011,42.3489582,-71.1476809
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220071,MASSACHUSETTS GENERAL HOSPITAL,55 FRUIT STREET,BOSTON,MA,160,45240.93125,14348.0875,13114.78125,2011,42.3631542,-71.0688334
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220086,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,53,18437.16981,13747.30189,13020.15094,2011,42.3396481,-71.1050255
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220101,NEWTON-WELLESLEY HOSPITAL,2014 WASHINGTON STREET,NEWTON,MA,48,23073.33333,9045.083333,8227.166667,2011,42.3306338,-71.2464373
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,76,39882.82895,13697.71053,12199.19737,2011,42.3362036,-71.1067408
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220116,TUFTS MEDICAL CENTER,800 WASHINGTON STREET,BOSTON,MA,20,19570.65,16607.6,12568.15,2011,42.349512,-71.063308
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,220119,FAULKNER HOSPITAL,1153 CENTRE STREET,BOSTON,MA,31,27371.32258,10735.12903,9947.096774,2011,42.3016411,-71.1287817
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,220011,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,23,12809.17391,12179.30435,11639.30435,2011,42.3748024,-71.1042804
